Week(s),Artist(s),Song
15,HAIM,Relationships
11,Ariana Grande,"yes, and?"
10,Sabrina Carpenter,Espresso
8,ROSÉ & Bruno Mars,APT.
7,Lady Gaga & Bruno Mars,Die With A Smile
6,Chappell Roan,The Subway
4,Twenty One Pilots,Overcompensate
4,Taylor Swift & Post Malone,Fortnight
4,Kendrick Lamar & SZA,luther
4,Lady Gaga,Abracadabra
3,Billie Eilish,BIRDS OF A FEATHER
3,Tate McRae,Sports car
2,Dua Lipa,Houdini
2,Kali Uchis,sunshine & rain...
1,Lady Gaga,Disease
1,Baby Lasagna,Rim Tim Tagi Dim
1,Mariah Carey,All I Want for Christmas Is You
1,Sam Fender,People Watching
1,Lorde,What Was That
1,Sabrina Carpenter,Manchild
